user,date,vitamin,supplement intake,recommended intake,recommended met
trish,08/05/24,fish oil,100,100,Yes :)
loki,08/05/24,magnesium,100,310,No :(
loki,08/05/24,fish oil,0,100,"Unsure, no supplments are taken :/"
link,08/05/24,magnesium,400,310,Yes :)
ben,08/05/24,fish oil,0,100,"Unsure, no supplments were recorded :/"
ben,08/05/24,magnesium,0,310,"Unsure, no supplments were recorded :/"
trish,08/05/24,vitamin d,1000,600,Yes :)
trish,08/05/24,magnesium,200,310,No :(
trish,08/05/24,b12,0,310,"Unsure, no supplments were recorded :/"
trish,08/05/24,fish oil,100,100,Yes :)
loki,08/05/24,b12,400,310,Yes :)
ben,08/05/24,b12,400,310,Yes :)
